user_id,signup_date,country,device_type,acq_channel,age,member_level,kyc_passed,device_risk_score,ip_risk_score,num_cards_linked,chargeback_history,failed_login_7d,tx_count_7d,tx_amount_7d,burstiness,hours_to_first_tx,activated,days_to_activation,is_fraud,risk_bucket
41,2025-03-02,HK,iOS,Ads,33,0,1,19.9,43.2,0,0,0,4,50.26,29.6,42.42,1,4.75,0,Low
42,2025-10-04,US,Web,Ads,18,0,1,27.9,47.7,1,0,0,2,35.65,13.7,5.28,1,2.51,0,Low
43,2025-09-13,DE,Android,Organic,20,1,1,48.8,63.4,0,0,0,2,38.37,6.8,1.5,1,14.47,0,Low
44,2025-05-10,MX,iOS,Organic,32,1,1,58.9,41.5,3,0,1,3,58.27,45.1,12.37,1,2.18,0,Low
45,2025-01-25,SG,Web,Organic,35,2,1,77.9,57.7,2,0,1,3,38.0,77.3,3.37,1,7.55,0,Medium
46,2025-12-21,CN,iOS,Referral,20,2,1,43.0,34.9,1,1,0,2,155.8,15.9,19.48,1,5.69,0,Low
47,2025-06-12,CN,iOS,Organic,37,2,0,37.7,83.2,3,0,1,2,33.2,60.7,13.92,0,6.48,0,Medium
48,2025-11-22,US,Android,Referral,18,0,1,43.7,29.3,1,0,2,4,80.32,58.9,15.0,1,2.95,0,Low
49,2025-09-05,US,Android,Organic,18,0,1,49.4,29.0,1,0,0,4,78.61,23.1,22.73,1,29.07,0,Low
50,2025-10-12,SG,Android,Affiliate,23,1,0,77.4,47.4,4,0,2,5,86.64,23.3,2.63,1,18.02,1,Medium
51,2025-10-05,HK,Web,Ads,43,2,0,45.2,65.2,0,0,0,5,117.39,64.2,2.58,1,3.99,0,Medium
52,2025-03-13,GB,iOS,Affiliate,45,1,1,25.3,26.6,3,0,0,3,119.32,30.7,3.85,0,11.56,0,Low
53,2025-05-13,BR,Web,Ads,18,1,1,52.0,36.2,0,0,1,2,56.83,24.0,24.97,1,9.54,0,Low
54,2025-06-20,US,iOS,Ads,18,1,1,46.5,34.8,1,0,0,3,88.21,18.1,8.36,1,3.32,0,Low
55,2025-07-01,US,iOS,Ads,38,0,1,44.3,21.5,1,0,3,2,26.0,35.4,5.51,1,3.95,0,Low
56,2025-01-16,US,iOS,Organic,27,0,1,40.2,31.1,1,0,1,1,266.87,7.3,3.8,0,22.1,0,Low
57,2025-07-19,US,iOS,Referral,43,0,1,82.3,28.4,1,0,2,6,47.44,68.9,1.88,1,0.17,0,Medium
58,2025-02-26,GB,Android,Ads,38,1,1,35.9,68.7,2,0,0,3,25.55,34.9,8.66,1,6.52,0,Low
59,2025-09-29,FR,Web,Organic,39,0,1,17.4,45.4,0,0,3,10,44.81,55.5,5.52,0,6.34,0,Low
60,2025-09-07,IN,Android,Organic,24,0,1,34.2,32.0,1,0,3,5,84.09,47.6,6.66,1,8.32,0,Low
61,2025-12-03,CA,Android,Ads,35,0,0,36.2,79.5,0,0,6,2,150.3,27.2,3.88,1,10.88,0,Medium
62,2025-09-29,CN,iOS,Affiliate,49,0,0,22.2,78.4,0,0,3,2,81.73,21.5,22.15,1,21.99,0,Low
63,2025-05-14,US,Web,Affiliate,32,0,1,41.6,76.5,0,1,2,3,74.16,37.2,3.84,0,2.69,0,Medium
64,2025-12-20,CN,Android,Organic,31,1,1,74.0,33.1,1,0,1,4,136.03,28.7,9.13,1,15.05,0,Low
65,2025-05-30,CN,Android,Ads,27,2,0,22.1,62.8,0,0,0,5,59.07,41.7,4.61,1,3.16,1,Low
66,2025-04-29,BR,Android,Organic,18,0,1,20.1,85.0,2,1,2,1,64.36,47.2,3.25,1,2.8,0,Low
67,2025-11-27,SG,iOS,Organic,21,0,1,58.4,34.2,1,0,3,4,105.95,47.6,2.22,1,19.03,0,Low
68,2025-05-16,US,Android,Affiliate,23,0,0,41.4,37.8,2,0,0,4,141.71,30.7,1.18,1,3.07,1,Low
69,2025-01-28,CN,Web,Organic,18,0,1,38.1,33.4,1,0,1,4,97.61,34.1,14.76,1,3.14,0,Low
70,2025-06-21,US,iOS,Organic,18,1,0,64.4,46.4,1,2,0,2,26.4,87.5,19.84,0,4.01,1,Medium
71,2025-10-18,IN,Android,Organic,18,1,1,35.0,78.6,1,0,3,3,203.3,26.5,10.09,1,9.55,0,Low
72,2025-03-11,US,Web,Organic,24,0,1,16.8,43.4,1,0,1,5,79.82,44.1,14.24,1,3.56,0,Low
73,2025-06-18,US,Android,Organic,37,0,0,59.4,30.8,1,0,0,5,14.8,38.2,6.0,1,8.25,0,Low
74,2025-02-17,US,Android,Organic,28,1,1,43.9,40.1,3,1,2,1,46.1,46.9,5.93,0,7.62,0,Low
75,2025-09-08,FR,Android,Organic,28,0,1,42.9,65.7,1,0,2,0,159.56,27.9,5.42,0,4.01,0,Low
76,2025-06-23,SG,Android,Referral,38,2,1,9.9,0.0,1,0,1,9,29.76,23.2,19.38,1,27.28,0,Low
77,2025-05-01,CA,Android,Organic,46,0,0,27.0,49.8,0,0,2,2,71.0,76.5,11.29,0,10.5,0,Low
78,2025-03-24,CN,Android,Affiliate,51,0,1,41.4,37.5,0,0,1,1,294.46,59.8,6.55,1,1.84,0,Low
79,2025-07-26,US,iOS,Ads,32,0,0,25.8,29.0,2,0,1,6,117.0,53.3,11.2,1,2.75,0,Low
80,2025-09-02,BR,Web,Organic,28,0,1,62.2,6.9,0,0,0,4,26.98,31.5,18.28,1,14.19,0,Low
81,2025-12-10,US,Web,Organic,27,0,0,43.8,54.4,1,0,0,4,55.98,4.1,1.77,0,3.55,0,Low
82,2025-06-09,US,Android,Organic,36,0,1,40.7,36.1,3,1,2,1,38.07,31.7,2.88,0,2.22,0,Low
83,2025-02-28,GB,Web,Affiliate,30,0,1,62.5,51.1,1,1,0,5,105.25,46.8,3.77,1,3.78,0,Medium
84,2025-10-31,US,Android,Ads,30,0,0,34.5,19.4,1,0,0,2,131.95,37.0,70.51,1,2.97,0,Low
85,2025-08-18,US,Web,Organic,30,0,1,51.9,4.0,1,0,0,3,41.44,12.3,7.16,1,1.22,0,Low
86,2025-09-13,FR,iOS,Organic,23,0,1,45.0,17.6,1,0,0,2,26.82,66.3,22.86,1,4.47,0,Low
87,2025-02-05,SG,iOS,Organic,18,0,1,60.1,37.5,2,1,0,6,91.27,46.7,7.0,1,4.87,0,Low
88,2025-04-25,US,Web,Ads,25,0,1,52.9,5.7,0,0,1,3,110.75,35.9,6.66,0,2.59,0,Low
89,2025-10-08,CN,Android,Organic,44,1,0,56.3,44.9,2,0,3,2,118.86,30.6,5.68,1,3.7,0,Low
90,2025-10-31,AU,Android,Ads,44,0,0,35.8,75.3,2,0,2,5,106.91,41.4,22.45,1,14.52,0,Low
91,2025-06-08,US,Android,Ads,39,2,0,34.9,0.0,3,0,1,1,53.42,91.2,13.75,1,3.02,0,Low
92,2025-10-21,US,Android,Ads,27,0,1,43.4,27.8,2,0,2,4,11.04,71.0,6.34,1,2.32,0,Low
93,2025-11-04,GB,Android,Organic,24,1,1,56.2,38.5,1,0,0,4,42.8,39.7,9.61,0,11.85,0,Low
94,2025-05-22,GB,Android,Organic,46,0,0,51.9,38.1,1,0,2,4,111.57,50.2,17.35,0,12.48,0,Low
95,2025-11-24,MX,Android,Organic,21,2,1,59.0,68.2,2,1,1,6,68.03,74.6,12.45,1,38.91,0,Medium
96,2025-04-16,CN,iOS,Affiliate,31,0,1,29.9,33.5,3,0,1,1,89.04,66.8,45.23,1,26.05,0,Low
97,2025-03-29,US,iOS,Organic,46,2,1,21.1,36.1,2,0,0,6,20.83,13.2,3.24,1,8.54,0,Low
98,2025-09-07,GB,Android,Organic,32,2,1,36.4,34.7,1,0,1,5,55.39,48.6,1.79,1,2.31,0,Low
99,2025-08-21,CA,Android,Organic,28,0,0,33.3,51.6,2,0,2,4,56.86,21.5,2.33,1,4.71,0,Low
100,2025-02-21,US,Android,Ads,41,0,0,28.1,74.9,2,0,1,5,90.75,47.5,2.42,1,9.19,0,Medium
101,2025-10-31,GB,Android,Ads,32,0,1,41.2,42.0,2,0,2,4,58.59,22.7,3.68,1,3.5,1,Low
102,2025-03-14,US,Android,Ads,33,0,0,22.0,72.6,0,0,0,2,50.35,40.4,3.16,1,10.84,0,Low
103,2025-10-21,BR,iOS,Ads,45,0,1,35.0,43.9,3,0,2,5,25.91,76.3,6.88,0,2.22,0,Low
104,2025-01-03,BR,Android,Affiliate,18,0,1,27.6,16.7,1,1,3,7,80.83,53.0,35.31,1,2.76,0,Low
105,2025-10-18,HK,iOS,Affiliate,34,0,1,24.0,64.3,0,0,3,2,71.68,11.3,9.74,1,3.67,0,Low
106,2025-10-15,MX,Android,Organic,24,0,1,22.9,41.6,3,0,2,4,39.92,36.4,29.99,1,18.36,0,Low
107,2025-10-12,MX,iOS,Organic,29,0,0,27.4,70.6,0,0,3,5,29.38,35.7,10.86,0,4.09,0,Low
108,2025-08-31,US,Android,Referral,32,0,0,54.3,58.5,3,1,1,4,341.12,37.6,13.39,1,4.99,0,Medium
109,2025-06-22,CN,Android,Ads,25,0,0,39.9,60.6,3,0,0,5,36.04,53.1,8.04,1,10.48,0,Medium
110,2025-09-15,GB,Android,Referral,33,0,1,47.0,26.7,1,0,1,2,108.59,34.8,9.71,1,5.16,0,Low
111,2025-04-12,US,Android,Organic,34,0,0,41.3,22.8,1,0,2,3,50.88,68.7,8.51,1,3.28,0,Low
112,2025-10-12,CN,Web,Referral,33,1,1,56.4,41.2,0,0,0,1,21.95,35.3,9.1,1,12.33,0,Low
113,2025-07-22,US,Android,Organic,32,1,1,54.0,14.9,0,0,1,7,146.4,75.6,4.08,0,3.56,0,Low
114,2025-06-17,IN,Android,Ads,30,3,1,54.6,20.4,0,0,0,2,70.65,17.2,3.76,1,2.64,1,Low
115,2025-07-04,CN,iOS,Organic,30,0,1,41.7,27.0,1,0,3,6,79.06,75.5,1.8,0,4.14,0,Low
116,2025-07-27,DE,iOS,Organic,32,0,1,44.3,17.5,1,0,2,7,61.72,63.2,3.47,1,1.47,0,Low
117,2025-01-14,CN,iOS,Organic,23,0,1,23.8,39.8,0,0,1,1,49.95,24.7,28.94,1,3.31,0,Low
118,2025-02-21,US,iOS,Organic,42,0,1,32.4,42.4,0,0,3,5,80.55,45.8,10.65,1,4.68,0,Low
119,2025-03-31,BR,Android,Organic,30,2,0,58.2,31.5,0,0,0,6,81.83,48.9,5.9,0,2.53,0,Low
120,2025-02-11,US,Android,Referral,27,0,0,35.0,17.0,1,0,2,2,28.4,10.0,10.96,1,20.89,0,Low
121,2025-06-10,US,Android,Referral,35,2,1,40.4,25.4,2,0,0,6,19.12,39.6,7.67,1,4.33,0,Low
122,2025-09-01,CN,iOS,Affiliate,30,2,1,55.7,46.5,1,0,0,3,40.11,35.4,17.3,0,10.24,0,Low
123,2025-08-27,AU,Android,Referral,42,0,0,49.2,37.0,0,0,1,1,60.5,10.6,3.41,0,28.11,0,Low
124,2025-06-21,CN,iOS,Affiliate,39,0,1,45.1,44.0,2,0,1,5,146.15,39.3,2.32,0,16.29,0,Low
125,2025-11-09,US,Android,Referral,32,0,1,40.5,24.1,3,0,2,2,105.44,5.5,4.08,1,9.36,0,Low
126,2025-07-26,CN,Android,Organic,39,1,1,59.5,50.3,1,0,0,2,248.36,18.7,12.25,1,3.01,0,Low
127,2025-01-29,US,iOS,Organic,33,0,1,33.0,57.6,0,0,0,4,67.76,45.8,101.52,0,1.78,0,Low
128,2025-10-07,US,iOS,Affiliate,21,0,1,50.6,15.8,1,0,0,5,17.95,47.7,8.17,1,2.03,0,Low
129,2025-07-29,GB,Web,Organic,39,2,1,39.9,32.8,0,0,3,4,26.65,17.5,5.57,1,2.03,0,Low
130,2025-08-20,US,Android,Ads,18,1,1,54.6,8.8,3,0,1,3,45.84,44.2,7.0,0,14.93,0,Low
131,2025-07-26,CN,Android,Ads,18,2,1,56.1,58.4,1,2,2,9,94.44,38.1,5.55,1,8.66,0,Medium
132,2025-07-22,CA,iOS,Organic,37,0,1,46.9,86.5,0,0,0,4,42.39,36.2,3.62,1,10.11,0,Medium
133,2025-02-03,AU,iOS,Organic,35,1,1,63.8,60.0,1,0,0,9,54.63,40.4,13.61,1,5.41,0,Low
134,2025-07-24,US,Android,Ads,34,1,1,57.3,39.0,3,0,1,2,88.04,43.3,12.86,1,1.55,0,Low
135,2025-10-18,CN,Web,Ads,44,0,1,39.7,45.1,1,0,4,8,51.91,74.3,11.8,1,12.33,0,Medium
136,2025-04-21,US,iOS,Organic,31,0,0,48.8,53.4,1,1,0,2,49.73,39.9,6.07,1,6.03,0,Low
137,2025-08-09,IN,iOS,Ads,28,0,1,49.5,16.7,3,0,1,1,94.58,27.9,3.33,1,9.67,0,Low
138,2025-01-12,US,Web,Organic,38,0,0,62.0,43.1,0,0,1,6,11.98,44.2,14.33,1,7.33,0,Low
139,2025-05-07,US,Android,Organic,25,1,1,18.6,41.5,3,0,0,5,103.3,40.7,17.84,1,13.15,0,Low
140,2025-06-09,HK,iOS,Ads,29,2,1,64.2,37.5,0,0,0,3,99.32,18.0,5.16,1,5.06,1,Low
141,2025-12-25,US,Android,Organic,33,3,0,16.9,33.5,2,0,2,2,82.78,34.0,7.49,1,4.09,0,Low
142,2025-03-20,US,Android,Referral,34,0,1,52.9,43.7,2,0,2,5,174.05,42.5,10.32,1,6.24,0,Low
143,2025-04-11,US,Web,Organic,28,1,1,52.8,21.8,1,0,2,6,135.27,35.2,14.76,1,4.74,0,Low
144,2025-05-30,CA,iOS,Referral,27,0,1,41.3,26.9,4,0,1,6,134.64,47.0,4.2,1,23.14,0,Low
145,2025-12-29,GB,Android,Affiliate,21,0,1,55.4,47.5,1,0,3,3,47.08,73.7,16.21,1,3.22,0,Medium
146,2025-11-08,CA,iOS,Affiliate,24,1,0,23.6,41.1,0,0,2,4,69.51,25.8,3.45,1,10.9,0,Low
147,2025-01-13,DE,Android,Ads,47,2,1,30.6,42.2,2,0,1,9,41.96,38.6,23.24,1,16.2,0,Low
148,2025-03-27,CN,Android,Ads,29,3,0,25.9,61.4,2,0,0,3,161.54,9.5,6.25,1,3.38,0,Low
149,2025-10-27,IN,Android,Ads,33,0,1,33.1,39.9,0,0,1,3,51.38,24.4,6.42,0,2.17,0,Low
150,2025-01-22,DE,Web,Ads,18,1,1,63.6,37.7,1,1,2,5,134.39,64.3,6.09,0,5.41,0,Medium
151,2025-11-09,FR,Android,Organic,54,0,1,67.0,55.0,1,1,1,3,51.34,52.9,15.28,1,10.73,0,Medium
152,2025-04-13,AU,iOS,Organic,23,1,0,43.3,77.3,0,0,1,5,42.93,43.6,8.69,0,16.07,0,Medium
153,2025-12-01,CN,iOS,Organic,20,0,1,48.2,32.6,1,0,2,3,168.38,89.9,16.24,1,34.56,0,Low
154,2025-04-18,CN,Android,Ads,30,0,1,79.3,51.0,1,0,1,2,133.17,35.7,15.66,1,8.58,0,Medium
155,2025-06-08,HK,Android,Organic,23,3,1,37.5,36.8,2,0,2,5,185.7,54.5,22.28,1,17.46,0,Low
156,2025-08-30,US,iOS,Ads,34,0,0,32.8,23.0,0,0,2,2,30.44,33.1,4.35,1,4.69,0,Low
157,2025-02-16,HK,Android,Organic,18,2,0,61.4,41.5,3,0,2,4,29.7,49.8,32.56,0,7.13,0,Low
158,2025-07-23,US,Android,Organic,41,0,0,35.5,54.1,0,0,0,5,21.84,55.4,11.27,1,7.29,0,Low
159,2025-07-04,US,Web,Ads,39,1,0,27.6,25.3,3,0,1,5,78.47,44.9,3.65,1,3.68,1,Low
160,2025-10-14,IN,Android,Affiliate,30,2,1,60.6,64.3,1,0,0,1,55.7,40.1,7.6,1,2.88,0,Medium
161,2025-12-30,AU,Android,Organic,18,0,1,69.4,34.1,0,0,0,4,54.16,70.0,8.42,1,2.89,0,Low
162,2025-08-31,GB,Android,Referral,24,0,0,36.1,33.1,1,0,1,2,95.06,23.1,14.65,1,14.09,0,Low
163,2025-05-30,CN,Web,Organic,32,1,0,44.4,57.0,0,0,0,3,41.99,78.3,3.23,1,14.09,0,Medium
164,2025-05-29,GB,Android,Organic,20,0,0,60.9,47.4,0,1,1,5,20.91,24.1,5.09,1,1.4,0,Low
165,2025-06-02,IN,iOS,Organic,22,0,1,31.3,27.3,1,1,1,2,22.9,43.0,5.98,1,5.38,0,Low
166,2025-10-25,CA,iOS,Organic,40,0,0,61.8,15.8,1,1,0,5,32.62,60.3,10.73,1,4.56,0,Low
167,2025-04-28,GB,Web,Organic,32,0,0,71.1,76.3,0,0,1,7,76.05,42.6,30.25,1,5.62,0,Medium
168,2025-03-02,HK,Android,Organic,32,0,1,22.8,45.5,0,0,1,2,85.33,45.8,7.89,0,4.59,0,Low
169,2025-05-03,CN,Android,Ads,36,0,1,20.9,79.4,1,0,1,7,145.75,53.2,5.51,0,3.87,0,Medium
170,2025-01-09,AU,Android,Ads,30,0,0,16.0,32.2,1,1,1,4,33.99,57.5,5.62,1,4.62,0,Low
171,2025-02-08,MX,Android,Organic,30,3,1,35.7,48.7,3,0,1,3,44.88,61.8,10.38,1,7.68,0,Low
172,2025-02-02,HK,Android,Referral,35,0,1,22.3,17.3,1,0,0,3,84.99,6.8,17.19,0,5.49,0,Low
173,2025-10-09,CN,Web,Ads,38,0,1,64.5,21.9,1,0,1,4,45.0,53.2,24.8,1,10.19,0,Low
174,2025-09-21,HK,Web,Organic,35,1,1,27.7,33.4,2,1,0,3,60.92,61.0,3.21,1,43.3,0,Low
175,2025-09-12,HK,Android,Organic,44,1,1,37.7,75.3,0,1,2,2,75.84,42.3,2.36,1,4.66,0,Low
176,2025-06-18,MX,iOS,Organic,31,0,1,51.5,46.6,0,0,0,4,204.11,30.8,11.01,1,4.48,0,Low
177,2025-09-19,AU,iOS,Affiliate,19,0,1,30.1,63.8,1,0,2,4,106.22,33.6,23.6,1,6.26,0,Low
178,2025-02-28,CN,Android,Organic,41,0,0,45.1,82.6,1,0,0,2,41.54,16.3,3.37,0,7.43,0,Medium
179,2025-11-25,CN,Android,Organic,29,3,1,56.6,61.0,0,0,0,4,147.71,22.2,13.1,1,4.65,0,Low
180,2025-07-02,HK,Android,Organic,24,2,1,100.0,60.2,0,1,1,2,51.02,86.0,4.85,1,12.66,0,High
181,2025-12-09,US,Android,Organic,37,0,1,51.8,44.7,1,0,3,2,113.89,52.8,5.65,1,37.68,0,Low
182,2025-02-25,SG,iOS,Organic,34,0,1,16.5,71.0,1,1,1,4,81.92,7.6,4.34,1,3.9,0,Low
183,2025-07-01,FR,Android,Ads,19,1,1,57.4,49.3,1,0,1,3,23.21,38.1,10.88,1,1.23,1,Low
184,2025-09-12,CA,Android,Referral,37,1,1,50.5,64.8,2,0,1,3,71.12,45.1,9.21,1,11.02,0,Low
185,2025-06-30,US,Android,Organic,48,0,1,54.0,35.6,0,0,1,3,82.46,59.3,15.26,1,5.89,0,Low
186,2025-06-12,AU,iOS,Organic,34,2,0,43.2,55.9,0,0,0,4,10.89,63.5,10.56,1,16.38,0,Low
187,2025-03-02,AU,Android,Organic,29,1,1,60.8,50.6,1,1,3,6,67.52,27.2,13.94,1,26.37,0,Low
188,2025-05-20,US,Android,Organic,18,0,1,40.5,35.6,3,0,0,4,142.23,35.0,23.79,1,6.9,0,Low
189,2025-03-29,CA,Android,Ads,49,0,1,50.5,13.9,3,0,0,1,63.83,94.9,12.52,1,7.81,0,Low
190,2025-04-21,GB,Android,Referral,26,0,1,48.7,48.5,1,0,1,4,43.35,42.5,2.4,1,4.27,0,Low
191,2025-09-07,BR,Web,Ads,18,1,0,46.9,51.1,0,0,2,3,77.12,72.2,13.05,0,4.91,1,Medium
192,2025-08-19,US,iOS,Organic,32,0,0,39.1,22.0,0,0,2,4,128.81,17.4,68.03,1,1.04,0,Low
193,2025-08-10,US,iOS,Affiliate,40,1,1,65.1,45.0,1,0,2,2,149.01,60.6,5.98,1,29.85,0,Medium
194,2025-05-13,SG,Android,Affiliate,42,2,1,69.8,48.0,0,0,2,11,93.24,37.4,12.03,1,8.14,0,Low
195,2025-12-17,US,iOS,Organic,25,1,1,79.8,64.2,1,0,2,4,47.84,39.4,28.88,1,5.32,0,Medium
196,2025-02-01,CN,Android,Referral,30,0,1,47.3,48.2,2,0,3,2,31.05,60.0,16.38,1,3.17,0,Low
197,2025-05-06,FR,iOS,Ads,31,0,1,49.1,56.1,1,0,2,1,118.45,37.1,4.4,1,10.68,0,Low
198,2025-02-13,US,iOS,Affiliate,40,0,1,50.2,39.1,0,0,0,1,46.77,23.5,13.9,1,10.26,0,Low
199,2025-05-04,HK,Android,Organic,36,0,1,30.8,35.8,0,0,0,3,35.16,73.9,11.26,1,23.95,0,Low
200,2025-12-18,MX,iOS,Organic,33,1,1,61.0,39.3,0,0,1,3,19.75,39.4,21.58,1,31.17,0,Low
201,2025-05-14,SG,Android,Affiliate,39,0,1,40.3,33.0,0,0,1,7,18.12,6.9,9.83,1,5.72,0,Low
202,2025-11-28,SG,iOS,Organic,19,0,1,55.7,37.2,0,0,1,3,118.66,14.1,8.81,1,6.26,0,Low
203,2025-06-30,GB,iOS,Referral,35,1,1,24.3,52.4,1,0,0,2,55.77,7.8,31.22,0,4.4,0,Low
204,2025-09-13,US,iOS,Organic,33,0,1,55.3,52.9,0,0,3,3,99.21,35.3,12.18,1,8.42,0,Low
205,2025-06-16,US,iOS,Organic,31,2,1,68.2,50.9,2,1,3,5,168.26,38.8,10.82,1,3.2,0,Low
206,2025-04-08,CA,Android,Ads,29,1,0,33.4,48.2,2,0,4,2,145.9,15.8,11.26,1,20.67,0,Low
207,2025-10-06,CN,Android,Ads,32,0,1,37.4,68.5,1,0,1,2,12.61,3.8,39.08,1,1.85,0,Low
208,2025-12-20,CN,Web,Organic,26,2,1,36.9,68.3,0,0,0,1,28.13,27.7,20.85,1,10.9,0,Low
209,2025-04-07,US,iOS,Ads,56,0,1,36.9,45.1,1,0,1,2,61.94,21.6,16.65,1,5.26,0,Low
210,2025-10-12,BR,iOS,Ads,43,0,1,69.6,73.1,0,0,2,4,110.19,27.7,2.76,1,5.86,0,Medium
211,2025-04-06,US,iOS,Ads,41,0,1,47.7,70.5,3,0,2,1,93.84,56.8,16.05,1,8.08,0,Medium
212,2025-09-19,DE,Android,Organic,26,0,0,28.3,45.1,2,0,0,2,257.82,72.5,4.61,1,2.18,0,Low
213,2025-10-15,CN,iOS,Ads,22,1,1,31.0,29.8,1,0,2,3,99.24,71.2,20.31,1,4.79,0,Low
